"","V1","ac","district","date","address","offense","year","num.month","num.week"
"879","C RESIDENTIAL BURGLARY 5900 S BERNARD ST 7/2/2019 P7","C","P7",2019-07-02,"5900 S BERNARD ST","RESIDENTIAL BURGLARY","2019","07","26"
"880","C THEFT OF MOTOR VEHICLE W 20TH AVE / S INLAND EMPIRE WAY 7/3/2019 P7","C","P7",2019-07-03,"W 20TH AVE / S INLAND EMPIRE","THEFT OF MOTOR VEHICLE","2019","07","26"
"881",NA,NA,NA,NA,NA,NA,NA,NA,NA
"882","C THEFT 3D ALL OTHER 900 W 17TH AVE 7/4/2019 P7","C","P7",2019-07-04,"900 W 17TH AVE","THEFT 3D ALL OTHER","2019","07","26"
"883","C THEFT 3D ALL OTHER 700 W 20TH AVE 7/6/2019 P7","C","P7",2019-07-06,"700 W 20TH AVE","THEFT 3D ALL OTHER","2019","07","26"
"884",NA,NA,NA,NA,NA,NA,NA,NA,NA
"885","C THEFT 2D ALL OTHER 2900 W RIVERSIDE AVE 7/6/2019 P7","C","P7",2019-07-06,"2900 W RIVERSIDE AVE","THEFT 2D ALL OTHER","2019","07","26"
"886","C THEFT 3D FROM MOTOR VEHICLE 1300 S WESTCLIFF PL 7/4/2019 P7","C","P7",2019-07-04,"1300 S WESTCLIFF PL","THEFT 3D FROM MOTOR VEHICLE","2019","07","26"
"887",NA,NA,NA,NA,NA,NA,NA,NA,NA
"888","C ASSAULT 1D 5300 W SUNSET HWY 7/6/2019 P7","C","P7",2019-07-06,"5300 W SUNSET HWY","ASSAULT 1D","2019","07","26"
"889","C BURGLARY 1D FROM RESIDENCE 5300 W SUNSET HWY 7/6/2019 P7","C","P7",2019-07-06,"5300 W SUNSET HWY","BURGLARY 1D FROM RESIDENCE","2019","07","26"
"890","C THEFT 2D FROM MOTOR VEHICLE W RIVERSIDE AVE / N MADISON ST 7/5/2019 P8","C","P8",2019-07-05,"W RIVERSIDE AVE / N MADISON ST","THEFT 2D FROM MOTOR VEHICLE","2019","07","26"
"891",NA,NA,NA,NA,NA,NA,NA,NA,NA
"892","C ARSON 2D 100 S CEDAR ST 7/1/2019 P8","C","P8",2019-07-01,"100 S CEDAR ST","ARSON 2D","2019","07","26"
"893","C ASSAULT 2D 0 N WASHINGTON ST 7/4/2019 P8","C","P8",2019-07-04,"0 N WASHINGTON ST","ASSAULT 2D","2019","07","26"
"894","C ASSAULT 2D S BROWNE ST / W PACIFIC AVE 7/5/2019 P8","C","P8",2019-07-05,"S BROWNE ST / W PACIFIC AVE","ASSAULT 2D","2019","07","26"
"895","C ASSAULT 2D N BERNARD ST / W RIVERSIDE AVE 7/5/2019 P8","C","P8",2019-07-05,"N BERNARD ST / W RIVERSIDE AVE","ASSAULT 2D","2019","07","26"
"896","C BURGLARY 2D COMMERCIAL 800 W RIVERSIDE AVE 7/2/2019 P8","C","P8",2019-07-02,"800 W RIVERSIDE AVE","BURGLARY 2D COMMERCIAL","2019","07","26"
"897","C BURGLARY 2D COMMERCIAL 0 W 3RD AVE 7/4/2019 P8","C","P8",2019-07-04,"0 W 3RD AVE","BURGLARY 2D COMMERCIAL","2019","07","26"
"898","C RAPE 2D USING OBJECT 6/30/2019 P8","C","P8",2019-06-30,NA,"RAPE 2D","2019","06","26"
"899","C ROBBERY 1D COMMERCIAL 400 W SPRAGUE AVE 7/3/2019 P8","C","P8",2019-07-03,"400 W SPRAGUE AVE","ROBBERY 1D COMMERCIAL","2019","07","26"
"900","C ROBBERY 2D PERSON 0 W 3RD AVE 7/1/2019 P8","C","P8",2019-07-01,"0 W 3RD AVE","ROBBERY 2D PERSON","2019","07","26"
"901","C THEFT 1D ALL OTHER 400 N RIVERPOINT BLVD 7/5/2019 P8","C","P8",2019-07-05,"400 N RIVERPOINT BLVD","THEFT 1D ALL OTHER","2019","07","26"
"902","C THEFT 1D FROM BUILDING 200 W PACIFIC AVE 7/3/2019 P8","C","P8",2019-07-03,"200 W PACIFIC AVE","THEFT 1D FROM BUILDING","2019","07","26"
"903","C THEFT 1D POCKET PICKING W MAIN AVE / N HOWARD ST 6/30/2019 P8","C","P8",2019-06-30,"W MAIN AVE / N HOWARD ST","THEFT 1D POCKET PICKING","2019","06","26"
"904","C THEFT 2D ALL OTHER 100 N STEVENS ST 6/30/2019 P8","C","P8",2019-06-30,"100 N STEVENS ST","THEFT 2D ALL OTHER","2019","06","26"
"905","C THEFT 2D ALL OTHER 400 W SPRAGUE AVE 6/30/2019 P8","C","P8",2019-06-30,"400 W SPRAGUE AVE","THEFT 2D ALL OTHER","2019","06","26"
"906","C THEFT 2D ALL OTHER W SPRAGUE AVE / N MONROE ST 7/1/2019 P8","C","P8",2019-07-01,"W SPRAGUE AVE / N MONROE ST","THEFT 2D ALL OTHER","2019","07","26"
"907","C THEFT 2D ALL OTHER 800 W MAIN AVE 7/2/2019 P8","C","P8",2019-07-02,"800 W MAIN AVE","THEFT 2D ALL OTHER","2019","07","26"
"908","C THEFT 2D ALL OTHER 0 W 3RD AVE 7/3/2019 P8","C","P8",2019-07-03,"0 W 3RD AVE","THEFT 2D ALL OTHER","2019","07","26"
"909","C THEFT 2D ALL OTHER 500 N HOWARD ST 7/6/2019 P8","C","P8",2019-07-06,"500 N HOWARD ST","THEFT 2D ALL OTHER","2019","07","26"
"910","C THEFT 2D FROM BUILDING 100 W 3RD AVE 6/30/2019 P8","C","P8",2019-06-30,"100 W 3RD AVE","THEFT 2D FROM BUILDING","2019","06","26"
"911","C THEFT 2D SHOPLIFTING 700 W MAIN AVE 7/3/2019 P8","C","P8",2019-07-03,"700 W MAIN AVE","THEFT 2D SHOPLIFTING","2019","07","26"
"912","C THEFT 2D SHOPLIFTING 700 W MAIN AVE 7/6/2019 P8","C","P8",2019-07-06,"700 W MAIN AVE","THEFT 2D SHOPLIFTING","2019","07","26"
"913","C THEFT 3D ALL OTHER 0 W SPRAGUE AVE 6/30/2019 P8","C","P8",2019-06-30,"0 W SPRAGUE AVE","THEFT 3D ALL OTHER","2019","06","26"
"914","C THEFT 3D ALL OTHER 700 W MAIN AVE 6/30/2019 P8","C","P8",2019-06-30,"700 W MAIN AVE","THEFT 3D ALL OTHER","2019","06","26"
"915","C THEFT 3D ALL OTHER W MAIN AVE / N HOWARD ST 6/30/2019 P8","C","P8",2019-06-30,"W MAIN AVE / N HOWARD ST","THEFT 3D ALL OTHER","2019","06","26"
"916","C THEFT 3D ALL OTHER 0 W PACIFIC AVE 6/30/2019 P8","C","P8",2019-06-30,"0 W PACIFIC AVE","THEFT 3D ALL OTHER","2019","06","26"
"917","C THEFT 3D ALL OTHER W SPRAGUE AVE / N WASHINGTON ST 7/1/2019 P8","C","P8",2019-07-01,"W SPRAGUE AVE / N WASHINGTON ST","THEFT 3D ALL OTHER","2019","07","26"
"918","C THEFT 3D ALL OTHER 800 W MAIN AVE 7/5/2019 P8","C","P8",2019-07-05,"800 W MAIN AVE","THEFT 3D ALL OTHER","2019","07","26"
