X,Y,OBJECTID,Offense,OffGen,BeginDate,EndDate,Location,Day
-117.425561617249002,47.675103542240429,12613,THEFT-SHOPLIFTING,Theft,2015-07-24T10:40:00.000Z,2015-07-24T10:40:00.000Z,900 Block Of W Indiana Av,Saturday
-117.443426740619969,47.668880698478731,12614,VEH-THEFT,Vehicle Theft,2015-07-24T10:09:00.000Z,2015-07-24T10:09:00.000Z,2100 Block Of W Sharp Av,Saturday
-117.396277096569534,47.670461038472368,12615,THEFT-IDENTITY,Theft,2015-07-24T11:45:00.000Z,2015-07-24T11:45:00.000Z,900 Block Of E Sinto Av,Saturday
-117.35308523204705,47.647534933503152,12616,THEFT-OPEN AREA,Theft,2015-07-23T10:00:00.000Z,2015-07-24T10:00:00.000Z,3900 Block Of E 9Th Av,Friday
-117.348019693927398,47.68219134688993,12617,MALICIOUS MISCHIEF,Malicious Mischief,2015-07-23T17:55:00.000Z,2015-07-23T17:55:00.000Z,2700 Block Of N Miami Ct,Friday
-117.462157585034404,47.643049391600073,12618,VEH-PROWL,Vehicle Prowling,2015-07-23T23:00:00.000Z,2015-07-24T08:00:00.000Z,1400 Block Of S F St,Friday
-117.448193984880689,47.732941675349387,12619,MALICIOUS MISCHIEF,Malicious Mischief,2015-06-24T22:00:00.000Z,2015-06-25T06:00:00.000Z,2400 Block Of W St Thomas More Wy,Thursday
-117.448193984880689,47.732941675349387,12620,VEH-PROWL,Vehicle Prowling,2015-06-24T22:00:00.000Z,2015-06-25T06:00:00.000Z,2400 Block Of W St Thomas More Wy,Thursday
-117.451344249421666,47.686047456793318,12621,THEFT-IDENTITY,Theft,2015-07-12T13:23:00.000Z,2015-07-13T13:23:00.000Z,2700 Block Of W Euclid Av,Monday
-117.403167959670341,47.703064223179105,12622,VEH-PROWL,Vehicle Prowling,2015-07-23T17:00:00.000Z,2015-07-23T18:00:00.000Z,500 Block Of E Olympic Av,Friday
-117.396164510797206,47.676706230915627,12623,THEFT-OPEN AREA,Theft,2015-07-23T19:30:00.000Z,2015-07-24T05:00:00.000Z,900 Block Of E Ermina Av,Friday
-117.395315742641529,47.734770217576234,12624,BURGLARY-GARAGE,Burglary,2015-07-23T20:30:00.000Z,2015-07-24T10:45:00.000Z,8400 Block Of N Nevada St,Friday
-117.423925628785838,47.6714295125117,12625,BURGLARY-RESIDNTL,Burglary,2015-07-24T12:20:00.000Z,2015-07-24T12:20:00.000Z,800 Block Of W Maxwell Av,Saturday
-117.399980929865762,47.693840975100898,12626,THEFT-SHOPLIFTING,Theft,2015-07-23T19:50:00.000Z,2015-07-23T19:50:00.000Z,600 Block Of E Garland Av,Friday
-117.405859916833549,47.741352723100775,12627,THEFT-FROM BUILDING,Theft,2015-07-24T00:15:00.000Z,2015-07-24T00:15:00.000Z,9200 Block Of N Colton St,Saturday
-117.389313602619211,47.68663642068185,12628,VEH-PROWL,Vehicle Prowling,2015-07-20T20:00:00.000Z,2015-07-21T07:45:00.000Z,1400 Block Of E Dalton Av,Tuesday
-117.393870527986621,47.709691120719313,12629,THEFT-OPEN AREA,Theft,2015-07-23T02:14:00.000Z,2015-07-24T02:34:00.000Z,1100 Block Of E Joseph Av,Friday
-117.41608326825488,47.67231129900037,12630,THEFT-FROM BUILDING,Theft,2015-07-13T15:20:00.000Z,2015-07-20T15:20:00.000Z,1600 Block Of N Calispel St,Tuesday
-117.41608326825488,47.67231129900037,12631,THEFT-FROM BUILDING,Theft,2015-07-02T15:18:00.000Z,2015-07-02T15:18:00.000Z,1600 Block Of N Calispel St,Friday
-117.41608326825488,47.67231129900037,12632,THEFT-FROM BUILDING,Theft,2015-07-23T15:23:00.000Z,2015-07-23T15:23:00.000Z,1600 Block Of N Calispel St,Friday
-117.395280037692487,47.715051952269725,12633,THEFT-SHOPLIFTING,Theft,2015-07-24T15:15:00.000Z,2015-07-24T15:15:00.000Z,1000 Block Of E Francis Av,Saturday
-117.36059765883607,47.652709612589653,12634,THEFT-SHOPLIFTING,Theft,2015-07-24T13:25:00.000Z,2015-07-24T13:25:00.000Z,400 Block Of S Thor St,Saturday
-117.411216965450805,47.717068399189699,12635,VEH-THEFT,Vehicle Theft,2015-07-24T15:12:00.000Z,2015-07-24T15:12:00.000Z,6500 Block Of N Division St,Saturday
