ac,offense,address,date,district
C, THEFT 1D ALL OTHER                                 , 4600 E TRENT AVE        , 4/12/2019 , P6,
C, THEFT 2D FROM MOTOR VEHICLE                        , 1800 N GREENE ST        , 4/9/2019  , P5,
C, THEFT 2D FROM MOTOR VEHICLE                        , 1300 N MAGNOLIA ST      , 4/12/2019 , P5,
C, THEFT OF MOTOR VEHICLE                             , 1800 E MISSION AVE      , 4/10/2019 , P6,
C, THEFT 2D ALL OTHER E 3RD                           , AVE / S CONKLIN ST      , 4/9/2019  , P6,
C, THEFT 3D FROM MOTOR VEHICLE                  , E 46TH AVE / S REGAL ST        , 4/7/2019  , P6,
C, THEFT 3D FROM MOTOR VEHICLE                        , 2021 E 29TH AVE         , 4/12/2019 , P6,
C, THEFT OF MOTOR VEHICLE                       , E 46TH AVE / S REGAL ST        , 4/7/2019  , P6,
C, THEFT 2D FROM BUILDING                             , 3400 E 17TH AVE         , 4/10/2019 , P6,
C, THEFT 2D FROM MOTOR VEHICLE                        , 2200 S SOUTHEAST BLVD   , 4/11/2019 , P6,
C, THEFT 2D FROM MOTOR VEHICLE                        , 3600 E 15TH AVE         , 4/12/2019 , P6,
C, THEFT 3D ALL OTHER                                 , 2700 E 27TH AVE         , 4/11/2019 , P6,
C, THEFT 3D ALL OTHER                                 , 2700 E 27TH AVE         , 4/11/2019 , P6,
C, THEFT 3D FROM MOTOR VEHICLE                        , 3500 S FISKE ST         , 4/8/2019  , P6,
C, THEFT 3D FROM MOTOR VEHICLE                        , 3600 S CRESTLINE ST     , 4/9/2019  , P6,
A, THEFT 3D FROM MOTOR VEHICLE                        , 4200 E 13TH AVE         , 4/9/2019  , P6,
C, THEFT 3D FROM MOTOR VEHICLE                        , 3700 E 16TH AVE         , 4/9/2019  , P6,
C, THEFT 3D FROM MOTOR VEHICLE                        , 3800 E 22ND AVE         , 4/10/2019 , P6,
C, THEFT 3D FROM BUILDING                             , 1000 S ROCKWOOD BLVD    , 4/8/2019  , P6,
C, RESIDENTIAL BURGLARY                               , 5100 S HOGAN LN         , 4/9/2019  , P6,
C, THEFT 3D ALL OTHER                                 , 5100 S REGAL ST         , 4/7/2019  , P6,
C, THEFT 3D FROM MOTOR VEHICLE                        , 3200 E 44TH AVE         , 4/9/2019  , P6,
C, THEFT 3D FROM MOTOR VEHICLE                        , 1700 E 51ST AVE         , 4/13/2019 , P6,
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES             , 5000 S PALOUSE HWY      , 4/10/2019 , P6,
C, THEFT OF MOTOR VEHICLE                             , 4400 S NAPA ST          , 4/10/2019 , P6,
C, THEFT OF MOTOR VEHICLE                             , 3000 E 37TH AVE         , 4/10/2019 , P6,
C, THEFT OF MOTOR VEHICLE                             , 3200 E 55TH AVE         , 4/13/2019 , P6,
U, THEFT-CITY (Shoplifting)                           , 5100 S REGAL ST         , 4/9/2019  , P6,
C, THEFT 3D ALL OTHER                      , S JEFFERSON ST / W 5TH AVE          , 4/11/2019 , P7,
C, THEFT 3D FROM BUILDING                      , S MAPLE ST / W 6TH AVE          , 4/9/2019  , P7,
C, BURGLARY 2D COMMERCIAL                             , 2100 W RIVERSIDE AVE    , 4/8/2019  , P7,
C, THEFT 3D ALL OTHER                                 , 100 S HEMLOCK ST        , 4/8/2019  , P7,
C, THEFT 3D ALL OTHER                                 , 2300 W 1ST AVE          , 4/8/2019  , P7,
C, THEFT OF MOTOR VEHICLE                             , 2100 W 5TH AVE          , 4/13/2019 , P7,
C, ASSAULT 1D                                         , 1100 W 11TH AVE         , 4/9/2019  , P7,
C, BURGLARY 2D FENCED AREA                            , 1000 W 5TH AVE          , 4/13/2019 , P7,
C, BURGLARY 2D GARAGE                                 , 600 W COTTA AVE         , 4/7/2019  , P7,
C, MAIL THEFT                                         , 1600 W 8TH AVE          , 4/13/2019 , P7,
C, THEFT 2D ALL OTHER                                 , 800 W 5TH AVE           , 4/7/2019  , P6,
C, THEFT 2D ALL OTHER                                 , 1000 S ELM ST           , 4/10/2019 , P7,
C, THEFT 2D FROM BUILDING                             , 100 W 8TH AVE           , 4/9/2019  , P7,
C, THEFT 2D FROM MOTOR VEHICLE                        , 1000 W 5TH AVE          , 4/7/2019  , P7,
C, THEFT 3D ALL OTHER                                 , 500 W 7TH AVE           , 4/9/2019  , P7,
C, THEFT 3D FROM BUILDING                             , 600 S ADAMS ST          , 4/7/2019  , P7,
C, THEFT 3D FROM BUILDING                             , 100 W 8TH AVE           , 4/10/2019 , P7,
A, THEFT 3D FROM MOTOR VEHICLE                        , 800 W 5TH AVE           , 4/9/2019  , P7,
A, THEFT 3D FROM MOTOR VEHICLE                        , 1500 S TACOMA ST        , 4/10/2019 , P7,
C, THEFT 3D FROM MOTOR VEHICLE            , S WASHINGTON ST / W 4TH AVE          , 4/10/2019 , P7,
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES             , 1000 W 5TH AVE          , 4/7/2019  , P7,
C, RESIDENTIAL BURGLARY                               , 500 W 33RD AVE          , 4/13/2019 , P7,
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES             , 0 W 32ND AVE            , 4/11/2019 , P7,
C, RESIDENTIAL BURGLARY                               , 2000 S CANYON           , WOODS LN  , 4/12/2019, P7
C, THEFT 3D ALL OTHER                                 , 3300 W 21ST AVE         , 4/11/2019 , P7,
C, RESIDENTIAL BURGLARY                               , 5100 S LINCOLN WAY      , 4/11/2019 , P7,
