C, BURGLARY 2D COMMERCIAL, 3400 S REGAL ST, 1/7/2019, P6
C, THEFT 2D ALL OTHER, 4200 E 30TH AVE, 1/11/2019, P6
A, BURGLARY 2D GARAGE, 700 E 26TH AVE, 1/11/2019, P6
C, THEFT 3D FROM BUILDING, 1300 S GRAND BLVD, 1/10/2019, P7
C, THEFT 3D FROM MOTOR VEHICLE, 900 E 26TH AVE, 1/12/2019, P6
C, ASSAULT 2D, 3000 E 37TH AVE, 1/12/2019, P6
C, ASSAULT 2D, 3800 S LEE ST, 1/8/2019, P7
C, BURGLARY 2D GARAGE, 5000 S REGAL ST, 1/7/2019, P6
C, BURGLARY 2D GARAGE, 5000 S REGAL ST, 1/11/2019, P5
C, THEFT 1D ALL OTHER, 5000 S REGAL ST, 1/12/2019, P6
C, THEFT 3D SHOPLIFTING, 4900 S REGAL ST, 1/11/2019, P6
C, THEFT 2D FROM MOTOR VEHICLE, 5000 S REGAL ST, 1/11/2019, P5
C, THEFT 3D FROM BUILDING, 2800 E 39TH AVE, 1/12/2019, P6
C, THEFT 3D FROM MOTOR VEHICLE, 1500 E 39TH AVE, 1/11/2019, P6
C, THEFT 3D SHOPLIFTING, 4900 S REGAL ST, 1/7/2019, P6
C, THEFT 3D SHOPLIFTING, 4500 S REGAL ST, 1/10/2019, P6
C, THEFT-CITY (Shoplifting), 4900 S REGAL ST, 1/8/2019, P6
A, VEHICLE PROWLING 2D, 1600 E 40TH AVE, 1/11/2019, P6
C, VEHICLE PROWLING 2D FROM VEHICLE W 7TH, AVE / S ELM ST, 1/10/2019, P7
C, ASSAULT 2D, 1900 W PACIFIC AVE, 1/12/2019, P7
C, ASSAULT 2D, 100 S ELM ST, 1/6/2019, P7
C, BURGLARY 1D FROM RESIDENCE, 100 S ELM ST, 1/6/2019, P7
A, THEFT 3D FROM MOTOR VEHICLE, 2100 W RIVERSIDE AVE, 1/8/2019, P7
C, ASSAULT 2D, 1200 W 10TH AVE, 1/12/2019, P7
C, BURGLARY 2D GARAGE, 1800 W 8TH AVE, 1/7/2019, P7
C, MAIL THEFT, 1100 W 11TH AVE, 1/8/2019, P7
C, RESIDENTIAL BURGLARY, 1100 W 12TH AVE, 1/11/2019, P7
C, THEFT OF MOTOR VEHICLE, 1700 W 7TH AVE, 1/8/2019, P7
C, THEFT 2D FROM MOTOR VEHICLE, 800 W 5TH AVE, 1/9/2019, P7
C, THEFT 2D FROM MOTOR VEHICLE, 1300 S MCCLELLAN ST, 1/10/2019, P7
C, THEFT 2D FROM MOTOR VEHICLE, 1900 W 8TH AVE, 1/10/2019, P7
C, THEFT 3D ALL OTHER, 900 S LINCOLN ST, 1/9/2019, P7
C, THEFT 3D FROM MOTOR VEHICLE, 700 S CEDAR ST, 1/8/2019, P5
C, THEFT 3D FROM MOTOR VEHICLE, 1600 S MONROE ST, 1/8/2019, P7
C, THEFT 3D FROM MOTOR VEHICLE, 900 W 5TH AVE, 1/11/2019, P7
C, BURGLARY 2D COMMERCIAL, 3000 S GRAND BLVD, 1/11/2019, P5
C, THEFT 2D SHOPLIFTING, 3000 S GRAND BLVD, 1/11/2019, P5
A, THEFT 3D FROM MOTOR VEHICLE, 3700 S SKYVIEW DR, 1/11/2019, P7
C, THEFT 1D FROM BUILDING, 2900 S GRAND BLVD, 1/11/2019, P7
C, THEFT 2D FROM MOTOR VEHICLE, 1300 E 36TH AVE, 1/12/2019, P7
C, THEFT 3D FROM MOTOR VEHICLE, 800 E 40TH AVE, 1/11/2019, P5
C, ASSAULT 2D, 100 W MORAN, VIEW AVE, 1/9/2019, P7
C, BURGLARY 2D GARAGE, 1700 W 17TH AVE, 1/6/2019, P7
C, THEFT 3D SHOPLIFTING, 4000 S CHENEY SPOKANE RD, 1/12/2019, P5
C, ASSAULT 2D, 1600 W CLARKE AVE, 1/6/2019, P7
C, ASSAULT 2D, 2600 W SUNSET BLVD, 1/10/2019, P7
C, THEFT 2D FROM MOTOR VEHICLE, 3200 W 5TH AVE, 1/11/2019, P7
C, THEFT 3D FROM MOTOR VEHICLE, 1000 S BUENA VISTA DR, 1/11/2019, P7
C, MAIL THEFT, 7700 W SUNSET HWY, 1/9/2019, P7
C, RESIDENTIAL BURGLARY, 5300 W SUNSET HWY, 1/12/2019, P6
C, THEFT 3D ALL OTHER W 1ST, AVE / S HOWARD ST, 1/9/2019, P8
C, ASSAULT 2D, 300 W SPRAGUE AVE, 1/11/2019, P8
C, ASSAULT 3D (d)or(f) (Weapon/Instrument/Bodily Harm), 400 W RIVERSIDE AVE, 1/12/2019, P8
C, HARASSMENT FELONY WEAPON INVOLVED, 100 S LINCOLN ST, 1/6/2019, P8
C, RESIDENTIAL BURGLARY, 400 S MAPLE ST, 1/7/2019, P8
C, THEFT 2D ALL OTHER, 1500 W 4TH AVE, 1/7/2019, P8
C, THEFT 2D FROM MOTOR VEHICLE, 0 W 2ND AVE, 1/9/2019, P8
C, THEFT 3D ALL OTHER, 700 W RIVERSIDE AVE, 1/7/2019, P8
C, THEFT 3D ALL OTHER, 0 N POST ST, 1/10/2019, P8
C, THEFT 3D SHOPLIFTING, 0 N POST ST, 1/9/2019, P8
C, THEFT 2D FROM MOTOR VEHICLE, 200 N WASHINGTON ST, 1/11/2019, P8
C, THEFT 2D SHOPLIFTING, 700 W MAIN AVE, 1/11/2019, P8
C, THEFT 3D ALL OTHER, 1500 W 2ND AVE, 1/7/2019, P8
C, THEFT 3D FROM BUILDING, 0 W PACIFIC AVE, 1/10/2019, P8
C, THEFT 3D FROM MOTOR VEHICLE S MONROE, ST / W RAILROAD ALLEY AVE, 1/6/2019, P8
C, THEFT 3D SHOPLIFTING, 700 W RIVERSIDE AVE, 1/10/2019, P8
C, THEFT 3D SHOPLIFTING, 700 W MAIN AVE, 1/11/2019, P8
C, IBR PURPOSES ONLY - AGGRAVATED ASSAULT E HOERNER, AVE / N NEVADA ST, 1/7/2019, P4
